experiment_id,seed,model_name,model_variant,is_dp,dataset,train_size,test_size,input_dim,epochs,batch_size,learning_rate,optimizer,momentum,noise_multiplier,max_grad_norm,hidden_dims,dropout,delta,epsilon,accuracy,precision,recall,f1_score,confusion_matrix,roc_auc,pr_auc,training_time,notes,status,device,reference_f1,f1_drop_vs_reference
dp_mlp_bs_256_clip_0p5_noise_0p5_seed_42,42,dp_sgd_mlp,mlp_64_32_d0p1,True,uci_adult,30162,15060,104,50,256,0.05,sgd,0.9,0.5,0.5,64-32,0.1,1e-05,26.76643516511681,0.852390438247012,0.7547430148327009,0.5913513513513513,0.6631307773905137,"[[10649, 711], [1512, 2188]]",0.9082425651884278,0.7786709554015984,60.229615211486816,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.7272952853598015,0.06416450796928774
dp_mlp_bs_256_clip_1p0_noise_0p5_seed_42,42,dp_sgd_mlp,mlp_64_32_d0p1,True,uci_adult,30162,15060,104,50,256,0.05,sgd,0.9,0.5,1.0,64-32,0.1,1e-05,26.76643516511681,0.8539176626826029,0.7530364372469636,0.6032432432432432,0.6698679471788715,"[[10628, 732], [1468, 2232]]",0.9079247002283974,0.7792881103606176,52.260554790496826,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.7272952853598015,0.05742733818092993
dp_mlp_bs_256_clip_2p0_noise_0p5_seed_42,42,dp_sgd_mlp,mlp_64_32_d0p1,True,uci_adult,30162,15060,104,50,256,0.05,sgd,0.9,0.5,2.0,64-32,0.1,1e-05,26.76643516511681,0.852921646746348,0.744807121661721,0.6105405405405405,0.6710233179860389,"[[10586, 774], [1441, 2259]]",0.9080701132470499,0.780221153285023,61.304657220840454,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.7272952853598015,0.05627196737376261
dp_mlp_bs_256_clip_3p0_noise_0p5_seed_42,42,dp_sgd_mlp,mlp_64_32_d0p1,True,uci_adult,30162,15060,104,50,256,0.05,sgd,0.9,0.5,3.0,64-32,0.1,1e-05,26.76643516511681,0.8528552456839309,0.7361553150859326,0.6251351351351352,0.676118094124525,"[[10531, 829], [1387, 2313]]",0.9075949276741531,0.7778039963316024,60.34618282318115,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.7272952853598015,0.05117719123527653
dp_mlp_bs_256_clip_0p5_noise_1p0_seed_42,42,dp_sgd_mlp,mlp_64_32_d0p1,True,uci_adult,30162,15060,104,50,256,0.05,sgd,0.9,1.0,0.5,64-32,0.1,1e-05,3.8216853424556745,0.8519920318725099,0.7552933009371746,0.5881081081081081,0.6612976751253609,"[[10655, 705], [1524, 2176]]",0.9078568471640655,0.7781797134759492,61.50416660308838,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.7272952853598015,0.06599761023444062
dp_mlp_bs_256_clip_1p0_noise_1p0_seed_42,42,dp_sgd_mlp,mlp_64_32_d0p1,True,uci_adult,30162,15060,104,50,256,0.05,sgd,0.9,1.0,1.0,64-32,0.1,1e-05,3.8216853424556745,0.8521912350597609,0.7515358361774744,0.5951351351351352,0.6642533936651583,"[[10632, 728], [1498, 2202]]",0.9069606371336126,0.7775759250304162,61.42785716056824,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.7272952853598015,0.06304189169464314
dp_mlp_bs_256_clip_2p0_noise_1p0_seed_42,42,dp_sgd_mlp,mlp_64_32_d0p1,True,uci_adult,30162,15060,104,50,256,0.05,sgd,0.9,1.0,2.0,64-32,0.1,1e-05,3.8216853424556745,0.850531208499336,0.7433658045011757,0.5981081081081081,0.6628725475512955,"[[10596, 764], [1487, 2213]]",0.9054877950133232,0.7747042219666657,61.7304630279541,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.7272952853598015,0.06442273780850594
dp_mlp_bs_256_clip_3p0_noise_1p0_seed_42,42,dp_sgd_mlp,mlp_64_32_d0p1,True,uci_adult,30162,15060,104,50,256,0.05,sgd,0.9,1.0,3.0,64-32,0.1,1e-05,3.8216853424556745,0.849136786188579,0.7359550561797753,0.6018918918918919,0.6622063633660422,"[[10561, 799], [1473, 2227]]",0.9043324252950132,0.772322686919863,63.890016078948975,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.7272952853598015,0.06508892199375926
dp_mlp_bs_256_clip_0p5_noise_2p0_seed_42,42,dp_sgd_mlp,mlp_64_32_d0p1,True,uci_adult,30162,15060,104,50,256,0.05,sgd,0.9,2.0,0.5,64-32,0.1,1e-05,1.35680185345481,0.849800796812749,0.7577060931899642,0.5713513513513514,0.6514637904468413,"[[10684, 676], [1586, 2114]]",0.905395175104682,0.7743310655718253,62.85908222198486,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.7272952853598015,0.07583149491296015
dp_mlp_bs_256_clip_1p0_noise_2p0_seed_42,42,dp_sgd_mlp,mlp_64_32_d0p1,True,uci_adult,30162,15060,104,50,256,0.05,sgd,0.9,2.0,1.0,64-32,0.1,1e-05,1.35680185345481,0.849203187250996,0.7558181167203724,0.5705405405405405,0.6502387186200523,"[[10678, 682], [1589, 2111]]",0.9035117648458317,0.7710920069709473,62.588555097579956,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.7272952853598015,0.07705656673974914
