experiment_id,seed,model_name,model_variant,is_dp,dataset,train_size,test_size,input_dim,epochs,batch_size,learning_rate,optimizer,momentum,noise_multiplier,max_grad_norm,hidden_dims,dropout,delta,epsilon,accuracy,precision,recall,f1_score,confusion_matrix,roc_auc,pr_auc,training_time,notes,status,device,reference_f1,f1_drop_vs_reference
dp_mlp_bs_256_clip_0p5_noise_0p5_seed_42,42,dp_sgd_mlp,mlp_64_32_d0p1,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,0.5,0.5,64-32,0.1,1e-05,16.866018589908,0.851261620185923,0.7396585686145765,0.6089189189189189,0.6679513785947228,"[[10567, 793], [1447, 2253]]",0.9070716834792539,0.7747557214840671,22.96121072769165,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.7272952853598015,0.059343906765078724
dp_mlp_bs_256_clip_1p0_noise_0p5_seed_42,42,dp_sgd_mlp,mlp_64_32_d0p1,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,0.5,1.0,64-32,0.1,1e-05,16.866018589908,0.852921646746348,0.7366911061523749,0.6245945945945945,0.6760274974403978,"[[10534, 826], [1389, 2311]]",0.9080246597830225,0.7775866149849268,22.8613064289093,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.7272952853598015,0.05126778791940367
dp_mlp_bs_256_clip_2p0_noise_0p5_seed_42,42,dp_sgd_mlp,mlp_64_32_d0p1,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,0.5,2.0,64-32,0.1,1e-05,16.866018589908,0.8528552456839309,0.7413793103448276,0.615945945945946,0.6728668438145852,"[[10565, 795], [1421, 2279]]",0.9081546440807005,0.7786547222787684,22.53113889694214,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.7272952853598015,0.05442844154521631
dp_mlp_bs_256_clip_3p0_noise_0p5_seed_42,42,dp_sgd_mlp,mlp_64_32_d0p1,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,0.5,3.0,64-32,0.1,1e-05,16.866018589908,0.8534528552456839,0.7416639689219813,0.6191891891891892,0.6749153041685079,"[[10562, 798], [1409, 2291]]",0.9082623834221546,0.7795133216551134,23.237276077270508,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.7272952853598015,0.05237998119129361
dp_mlp_bs_256_clip_0p5_noise_1p0_seed_42,42,dp_sgd_mlp,mlp_64_32_d0p1,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,1.0,0.5,64-32,0.1,1e-05,2.3533992349495967,0.8511952191235059,0.7426005986032591,0.6035135135135136,0.6658714775607574,"[[10586, 774], [1467, 2233]]",0.9065982703654358,0.7733672895356885,22.810532093048096,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.7272952853598015,0.061423807799044106
dp_mlp_bs_256_clip_1p0_noise_1p0_seed_42,42,dp_sgd_mlp,mlp_64_32_d0p1,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,1.0,1.0,64-32,0.1,1e-05,2.3533992349495967,0.851925630810093,0.7408256880733946,0.6110810810810811,0.6697274881516587,"[[10569, 791], [1439, 2261]]",0.9074364769699277,0.7762417746879215,23.259836673736572,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.7272952853598015,0.05756779720814276
dp_mlp_bs_256_clip_2p0_noise_1p0_seed_42,42,dp_sgd_mlp,mlp_64_32_d0p1,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,1.0,2.0,64-32,0.1,1e-05,2.3533992349495967,0.8527888446215139,0.7430350704686988,0.6127027027027027,0.6716042067841801,"[[10576, 784], [1433, 2267]]",0.906689367624667,0.7760963389474855,23.029290676116943,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.7272952853598015,0.05569107857562139
dp_mlp_bs_256_clip_3p0_noise_1p0_seed_42,42,dp_sgd_mlp,mlp_64_32_d0p1,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,1.0,3.0,64-32,0.1,1e-05,2.3533992349495967,0.8523240371845949,0.7456724367509987,0.6054054054054054,0.6682577565632458,"[[10596, 764], [1460, 2240]]",0.9063614032165969,0.7749407871882932,22.928906440734863,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.7272952853598015,0.05903752879655566
dp_mlp_bs_256_clip_0p5_noise_2p0_seed_42,42,dp_sgd_mlp,mlp_64_32_d0p1,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,2.0,0.5,64-32,0.1,1e-05,0.8305657243586407,0.849203187250996,0.743109901326982,0.5902702702702702,0.657930411206507,"[[10605, 755], [1516, 2184]]",0.9052413756185763,0.7701663975032369,22.88248348236084,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.7272952853598015,0.06936487415329451
dp_mlp_bs_256_clip_1p0_noise_2p0_seed_42,42,dp_sgd_mlp,mlp_64_32_d0p1,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,2.0,1.0,64-32,0.1,1e-05,0.8305657243586407,0.850597609561753,0.7444369521240728,0.5967567567567568,0.6624662466246625,"[[10602, 758], [1492, 2208]]",0.9044040255043775,0.7699900999637849,22.607749700546265,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.7272952853598015,0.06482903873513901
dp_mlp_bs_256_clip_2p0_noise_2p0_seed_42,42,dp_sgd_mlp,mlp_64_32_d0p1,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,2.0,2.0,64-32,0.1,1e-05,0.8305657243586407,0.847808764940239,0.7463261021693492,0.5764864864864865,0.6505032021957914,"[[10635, 725], [1567, 2133]]",0.9013075870765133,0.7653536062037543,23.506060123443604,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.7272952853598015,0.0767920831640101
dp_mlp_bs_256_clip_3p0_noise_2p0_seed_42,42,dp_sgd_mlp,mlp_64_32_d0p1,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,2.0,3.0,64-32,0.1,1e-05,0.8305657243586407,0.8460823373173971,0.7607547169811321,0.5448648648648649,0.6349606299212598,"[[10726, 634], [1684, 2016]]",0.8948786400837456,0.7516378120308426,23.193387508392334,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.7272952853598015,0.09233465543854169
dp_mlp_bs_256_clip_0p5_noise_3p0_seed_42,42,dp_sgd_mlp,mlp_64_32_d0p1,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,3.0,0.5,64-32,0.1,1e-05,0.5124487055209154,0.84734395750332,0.7455310199789695,0.5748648648648649,0.6491683198535022,"[[10634, 726], [1573, 2127]]",0.9029360844118768,0.7650698831914954,23.23807668685913,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.7272952853598015,0.07812696550629927
dp_mlp_bs_256_clip_1p0_noise_3p0_seed_42,42,dp_sgd_mlp,mlp_64_32_d0p1,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,3.0,1.0,64-32,0.1,1e-05,0.5124487055209154,0.8490703851261621,0.7461193515005174,0.5845945945945946,0.6555538717987573,"[[10624, 736], [1537, 2163]]",0.900543645317853,0.7617407866436524,22.615514755249023,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.7272952853598015,0.07174141356104413
dp_mlp_bs_256_clip_2p0_noise_3p0_seed_42,42,dp_sgd_mlp,mlp_64_32_d0p1,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,3.0,2.0,64-32,0.1,1e-05,0.5124487055209154,0.8397078353253652,0.755564387917329,0.5137837837837838,0.6116473616473617,"[[10745, 615], [1799, 1901]]",0.8893883826608298,0.7405194217945689,23.354573249816895,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.7272952853598015,0.11564792371243982
dp_mlp_bs_256_clip_3p0_noise_3p0_seed_42,42,dp_sgd_mlp,mlp_64_32_d0p1,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,3.0,3.0,64-32,0.1,1e-05,0.5124487055209154,0.8293492695883135,0.7181467181467182,0.5027027027027027,0.5914149443561209,"[[10630, 730], [1840, 1860]]",0.8737460268366957,0.7049969412502983,23.048251628875732,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.7272952853598015,0.13588034100368063
