experiment_id,seed,model_name,is_dp,dataset,train_size,test_size,input_dim,epochs,batch_size,learning_rate,optimizer,momentum,noise_multiplier,max_grad_norm,delta,epsilon,accuracy,precision,recall,f1_score,confusion_matrix,roc_auc,pr_auc,training_time,notes,model_config
mlp_baseline_seed_42,42,mlp_baseline,False,uci_adult,30162,15060,104,20,256,0.001,adam,,,,,,0.84867197875166,0.72971225347559,0.61,0.6645075813337259,"[[10524, 836], [1443, 2257]]",0.9032821897601827,0.7716549595563005,20.87212562561035,non-private PyTorch MLP baseline,mlp_baseline
dp_mlp_bs_256_clip_1p0_noise_1p0_seed_42,42,dp_sgd_mlp,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,1.0,1.0,1e-05,2.3533992349495967,0.851792828685259,0.7534530386740331,0.5897297297297297,0.6616130988477865,"[[10646, 714], [1518, 2182]]",0.9063872644651694,0.7760182221754063,72.87038040161133,DP-SGD with Opacus PrivacyEngine,dp_noise_1.0
dp_mlp_bs_256_clip_1p0_noise_1p5_seed_42,42,dp_sgd_mlp,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,1.5,1.0,1e-05,1.21430041194964,0.849667994687915,0.7474155754651964,0.5862162162162162,0.6570736140563466,"[[10627, 733], [1531, 2169]]",0.9047144913399315,0.7728269149467397,66.67143368721008,DP-SGD with Opacus PrivacyEngine,dp_noise_1.5
dp_mlp_bs_256_clip_1p0_noise_3p0_seed_42,42,dp_sgd_mlp,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,3.0,1.0,1e-05,0.5124487055209154,0.846547144754316,0.7351845580765324,0.5867567567567568,0.6526379077108072,"[[10578, 782], [1529, 2171]]",0.8984446374191094,0.7587814355510767,66.00013208389282,DP-SGD with Opacus PrivacyEngine,dp_noise_3.0
mlp_baseline_seed_123,123,mlp_baseline,False,uci_adult,30162,15060,104,20,256,0.001,adam,,,,,,0.850332005312085,0.7330754352030948,0.6145945945945946,0.6686268744486915,"[[10532, 828], [1426, 2274]]",0.9060842691282831,0.7751602266410295,16.893329858779907,non-private PyTorch MLP baseline,mlp_baseline
dp_mlp_bs_256_clip_1p0_noise_1p0_seed_123,123,dp_sgd_mlp,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,1.0,1.0,1e-05,2.3533992349495967,0.8526560424966799,0.7602811950790861,0.5845945945945946,0.6609625668449198,"[[10678, 682], [1537, 2163]]",0.9059385230300722,0.7759287322454114,63.68123650550842,DP-SGD with Opacus PrivacyEngine,dp_noise_1.0
dp_mlp_bs_256_clip_1p0_noise_1p5_seed_123,123,dp_sgd_mlp,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,1.5,1.0,1e-05,1.21430041194964,0.85132802124834,0.761546723952739,0.5748648648648649,0.6551671030340367,"[[10694, 666], [1573, 2127]]",0.9039617196421774,0.7721352095260622,67.28141665458679,DP-SGD with Opacus PrivacyEngine,dp_noise_1.5
dp_mlp_bs_256_clip_1p0_noise_3p0_seed_123,123,dp_sgd_mlp,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,3.0,1.0,1e-05,0.5124487055209154,0.8458167330677291,0.7584396099024756,0.5464864864864865,0.6352497643732328,"[[10716, 644], [1678, 2022]]",0.8948206366577847,0.7548165653115314,61.33484506607056,DP-SGD with Opacus PrivacyEngine,dp_noise_3.0
mlp_baseline_seed_2026,2026,mlp_baseline,False,uci_adult,30162,15060,104,20,256,0.001,adam,,,,,,0.848339973439575,0.7127403846153846,0.6410810810810811,0.6750142287990893,"[[10404, 956], [1328, 2372]]",0.903917836410354,0.7717980660867053,16.051740646362305,non-private PyTorch MLP baseline,mlp_baseline
dp_mlp_bs_256_clip_1p0_noise_1p0_seed_2026,2026,dp_sgd_mlp,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,1.0,1.0,1e-05,2.3533992349495967,0.850597609561753,0.726420986883198,0.6286486486486487,0.674007534048102,"[[10484, 876], [1374, 2326]]",0.905988021031595,0.7763079263698903,62.44446539878845,DP-SGD with Opacus PrivacyEngine,dp_noise_1.0
dp_mlp_bs_256_clip_1p0_noise_1p5_seed_2026,2026,dp_sgd_mlp,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,1.5,1.0,1e-05,1.21430041194964,0.850398406374502,0.725881985638464,0.6283783783783784,0.6736201651455889,"[[10482, 878], [1375, 2325]]",0.9050330224590788,0.7740172614168709,64.51619863510132,DP-SGD with Opacus PrivacyEngine,dp_noise_1.5
dp_mlp_bs_256_clip_1p0_noise_3p0_seed_2026,2026,dp_sgd_mlp,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,3.0,1.0,1e-05,0.5124487055209154,0.8449535192563081,0.707383773928897,0.6291891891891892,0.6659991417536834,"[[10397, 963], [1372, 2328]]",0.8975540540540541,0.7577826783212998,69.63962244987488,DP-SGD with Opacus PrivacyEngine,dp_noise_3.0
