experiment_id,seed,model_name,is_dp,dataset,train_size,test_size,input_dim,epochs,batch_size,learning_rate,optimizer,momentum,noise_multiplier,max_grad_norm,delta,epsilon,accuracy,precision,recall,f1_score,confusion_matrix,roc_auc,pr_auc,training_time,notes,status,device,baseline_f1,f1_drop_vs_mlp_baseline,reference_baseline_f1,f1_drop_vs_reference_baseline
dp_mlp_bs_256_clip_0p5_noise_0p5_seed_42,42,dp_sgd_mlp,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,0.5,0.5,1e-05,16.866018589908,0.850464807436919,0.7543921293042867,0.5802702702702702,0.6559731133516652,"[[10661, 699], [1553, 2147]]",0.907490031404644,0.7759758683882964,33.57260489463806,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.6645075813337259,0.0085344679820607,0.6950887650641441,0.03911565171247888
dp_mlp_bs_256_clip_1p0_noise_0p5_seed_42,42,dp_sgd_mlp,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,0.5,1.0,1e-05,16.866018589908,0.8528552456839309,0.7563925362819627,0.5916216216216216,0.6639369123445557,"[[10655, 705], [1511, 2189]]",0.9082118385991624,0.7787804843913935,33.41627860069275,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.6645075813337259,0.0005706689891702,0.6950887650641441,0.031151852719588424
dp_mlp_bs_256_clip_2p0_noise_0p5_seed_42,42,dp_sgd_mlp,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,0.5,2.0,1e-05,16.866018589908,0.8536520584329349,0.7575757575757576,0.5945945945945946,0.6662628709872804,"[[10656, 704], [1500, 2200]]",0.9077924795393988,0.7785973692481809,33.37205266952515,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.6645075813337259,-0.0017552896535545,0.6950887650641441,0.028825894076863645
dp_mlp_bs_256_clip_3p0_noise_0p5_seed_42,42,dp_sgd_mlp,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,0.5,3.0,1e-05,16.866018589908,0.853253652058433,0.7542662116040956,0.5972972972972973,0.6666666666666666,"[[10640, 720], [1490, 2210]]",0.9072270294061668,0.7781514545834645,33.76325464248657,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.6645075813337259,-0.0021590853329407,0.6950887650641441,0.028422098397477447
dp_mlp_bs_256_clip_0p5_noise_1p0_seed_42,42,dp_sgd_mlp,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,1.0,0.5,1e-05,2.3533992349495967,0.85,0.7541446208112875,0.5778378378378378,0.6543228768171385,"[[10663, 697], [1562, 2138]]",0.9069632898743816,0.7747912390054201,31.575474739074707,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.6645075813337259,0.0101847045165873,0.6950887650641441,0.040765888247005555
dp_mlp_bs_256_clip_1p0_noise_1p0_seed_42,42,dp_sgd_mlp,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,1.0,1.0,1e-05,2.3533992349495967,0.852390438247012,0.7593958552862663,0.5843243243243244,0.6604551703070108,"[[10675, 685], [1538, 2162]]",0.9073814117815,0.7770054109833987,30.83737850189209,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.6645075813337259,0.004052411026715,0.6950887650641441,0.034633594757133235
dp_mlp_bs_256_clip_2p0_noise_1p0_seed_42,42,dp_sgd_mlp,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,1.0,2.0,1e-05,2.3533992349495967,0.8516600265604249,0.759377211606511,0.58,0.6576769843702115,"[[10680, 680], [1554, 2146]]",0.9049812047963456,0.7746272414242953,30.997135639190677,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.6645075813337259,0.0068305969635144,0.6950887650641441,0.037411780693932584
dp_mlp_bs_256_clip_3p0_noise_1p0_seed_42,42,dp_sgd_mlp,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,1.0,3.0,1e-05,2.3533992349495967,0.850597609561753,0.7487989018531228,0.5897297297297297,0.6598125188993045,"[[10628, 732], [1518, 2182]]",0.9040639631709174,0.7732500166221155,31.42974638938904,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.6645075813337259,0.0046950624344214,0.6950887650641441,0.0352762461648396
dp_mlp_bs_256_clip_0p5_noise_2p0_seed_42,42,dp_sgd_mlp,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,2.0,0.5,1e-05,0.8305657243586407,0.848871181938911,0.7583454281567489,0.5648648648648649,0.6474597273853779,"[[10694, 666], [1610, 2090]]",0.9048815783212788,0.7709817547781178,32.989015102386475,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.6645075813337259,0.0170478539483479,0.6950887650641441,0.04762903767876614
dp_mlp_bs_256_clip_1p0_noise_2p0_seed_42,42,dp_sgd_mlp,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,2.0,1.0,1e-05,0.8305657243586407,0.84933598937583,0.7635359116022099,0.5602702702702703,0.6462977396726423,"[[10718, 642], [1627, 2073]]",0.90319142558051,0.7700443973643823,32.720290184021,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.6645075813337259,0.0182098416610836,0.6950887650641441,0.04879102539150182
