seed,model_name,is_dp,hidden_dims,dropout,optimizer,learning_rate,batch_size,epochs,class_weight,epsilon,accuracy,precision,recall,f1_score,confusion_matrix,roc_auc,pr_auc,training_time,device,status
42,mlp_tuned_non_dp,False,128-64,0.0,adam,0.001,256,40,none,,0.8375166002656043,0.6690958164642375,0.67,0.6695476029709656,"[[10134, 1226], [1221, 2479]]",0.8927699015036163,0.7489157434392374,25.79441261291504,cuda,ok
42,mlp_tuned_non_dp,False,128-64,0.0,adam,0.001,256,40,mild,,0.8221115537848606,0.6099031216361679,0.7656756756756756,0.6789694427801078,"[[9548, 1812], [867, 2833]]",0.8914565925961172,0.7458059988188693,25.898067474365234,cuda,ok
42,mlp_tuned_non_dp,False,128-64,0.0,adam,0.001,256,40,balanced,,0.797742363877822,0.5589189189189189,0.8383783783783784,0.6707027027027027,"[[8912, 2448], [598, 3102]]",0.8916504330034261,0.7477378965442799,24.764864206314087,cuda,ok
42,mlp_tuned_non_dp,False,128-64,0.1,adam,0.001,256,40,none,,0.8454847277556441,0.7171781081936096,0.6127027027027027,0.6608366127386678,"[[10466, 894], [1433, 2267]]",0.8981649338599162,0.7605272099985931,25.23557710647583,cuda,ok
42,mlp_tuned_non_dp,False,128-64,0.1,adam,0.001,256,40,mild,,0.8381142098273573,0.6575924075924076,0.7116216216216216,0.6835410176531672,"[[9989, 1371], [1067, 2633]]",0.8981838123334602,0.7616950479702336,25.615901708602905,cuda,ok
42,mlp_tuned_non_dp,False,128-64,0.1,adam,0.001,256,40,balanced,,0.8128154050464808,0.5855838352438314,0.8145945945945946,0.6813609133039449,"[[9227, 2133], [686, 3014]]",0.8977767891130567,0.7630582688933565,24.85758113861084,cuda,ok
42,mlp_tuned_non_dp,False,128-64,0.2,adam,0.001,256,40,none,,0.84800796812749,0.7295802147738366,0.605945945945946,0.6620404547467887,"[[10529, 831], [1458, 2242]]",0.9015660925009517,0.7671307484015488,25.6437885761261,cuda,ok
42,mlp_tuned_non_dp,False,128-64,0.2,adam,0.001,256,40,mild,,0.8377822045152723,0.6577164366373902,0.7083783783783784,0.6821080026024724,"[[9996, 1364], [1079, 2621]]",0.8999559383326989,0.7671759816381155,25.055439710617065,cuda,ok
42,mlp_tuned_non_dp,False,128-64,0.2,adam,0.001,256,40,balanced,,0.8150066401062417,0.5890144137125048,0.8172972972972973,0.6846275752773375,"[[9250, 2110], [676, 3024]]",0.9006542991054435,0.7679482960838454,26.854445219039917,cuda,ok
42,mlp_tuned_non_dp,False,256-128,0.0,adam,0.001,256,40,none,,0.8249003984063745,0.6358987471234978,0.6721621621621622,0.6535277887268427,"[[9936, 1424], [1213, 2487]]",0.8787715906928055,0.7192054707007104,23.805811166763306,cuda,ok
42,mlp_tuned_non_dp,False,256-128,0.0,adam,0.001,256,40,mild,,0.8090305444887118,0.5864093959731543,0.7556756756756757,0.6603684459140293,"[[9388, 1972], [904, 2796]]",0.8760526979444233,0.7142713073893788,23.389697551727295,cuda,ok
42,mlp_tuned_non_dp,False,256-128,0.0,adam,0.001,256,40,balanced,,0.7882470119521913,0.5461108103230464,0.8178378378378378,0.6549074775457202,"[[8845, 2515], [674, 3026]]",0.87845633089075,0.7128770652830597,23.80460238456726,cuda,ok
42,mlp_tuned_non_dp,False,256-128,0.1,adam,0.001,256,40,none,,0.8398406374501992,0.7233009708737864,0.5637837837837838,0.6336573511543135,"[[10562, 798], [1614, 2086]]",0.8885201751046821,0.7412017156382934,25.072813987731934,cuda,ok
42,mlp_tuned_non_dp,False,256-128,0.1,adam,0.001,256,40,mild,,0.8320717131474104,0.6504754561809304,0.6840540540540541,0.6668423132657094,"[[10000, 1360], [1169, 2531]]",0.8881286162923487,0.7393606331310407,25.9706392288208,cuda,ok
42,mlp_tuned_non_dp,False,256-128,0.1,adam,0.001,256,40,balanced,,0.8129482071713148,0.5907502569373073,0.7767567567567567,0.6711033274956217,"[[9369, 1991], [826, 2874]]",0.8886450085649029,0.7457786109779383,30.993507862091064,cuda,ok
42,mlp_tuned_non_dp,False,256-128,0.2,adam,0.001,256,40,none,,0.8432270916334661,0.7264119039567128,0.5805405405405405,0.6453357368183866,"[[10551, 809], [1552, 2148]]",0.893557884468976,0.7550370879790561,34.34101915359497,cuda,ok
42,mlp_tuned_non_dp,False,256-128,0.2,adam,0.001,256,40,mild,,0.8318061088977423,0.6501930501930502,0.6827027027027027,0.6660514172709294,"[[10001, 1359], [1174, 2526]]",0.8924074395698516,0.7517729290053277,25.82092022895813,cuda,ok
42,mlp_tuned_non_dp,False,256-128,0.2,adam,0.001,256,40,balanced,,0.8114873837981408,0.5848944981266022,0.8016216216216216,0.676319689887128,"[[9255, 2105], [734, 2966]]",0.8938845998287019,0.7575009571847132,26.326232433319092,cuda,ok
42,mlp_tuned_non_dp,False,256-128-64,0.0,adam,0.001,256,40,none,,0.8245683930942895,0.6497734994337486,0.6202702702702703,0.634679203539823,"[[10123, 1237], [1405, 2295]]",0.8671362533307957,0.6914186533457873,26.512969732284546,cuda,ok
42,mlp_tuned_non_dp,False,256-128-64,0.0,adam,0.001,256,40,mild,,0.8195883134130146,0.6136416184971099,0.7172972972972973,0.6614330218068536,"[[9689, 1671], [1046, 2654]]",0.8718518985534831,0.6977249089207214,26.509860277175903,cuda,ok
42,mlp_tuned_non_dp,False,256-128-64,0.0,adam,0.001,256,40,balanced,,0.7880478087649403,0.5468461822205828,0.8013513513513514,0.6500767375575531,"[[8903, 2457], [735, 2965]]",0.8694926960411116,0.6829964443181403,26.022068738937378,cuda,ok
42,mlp_tuned_non_dp,False,256-128-64,0.1,adam,0.001,256,40,none,,0.8392430278884462,0.6857391809468487,0.6381081081081081,0.6610667786644268,"[[10278, 1082], [1339, 2361]]",0.8838200894556528,0.7324278265282907,28.713723182678223,cuda,ok
42,mlp_tuned_non_dp,False,256-128-64,0.1,adam,0.001,256,40,mild,,0.8216467463479415,0.6133720930232558,0.7413513513513513,0.6713166911404796,"[[9631, 1729], [957, 2743]]",0.8813157475256947,0.7241380510961338,28.63847517967224,cuda,ok
42,mlp_tuned_non_dp,False,256-128-64,0.1,adam,0.001,256,40,balanced,,0.7909694555112882,0.5496760259179265,0.8254054054054054,0.6598962834917891,"[[8858, 2502], [646, 3054]]",0.8858774980966883,0.7307886474838253,27.701887130737305,cuda,ok
42,mlp_tuned_non_dp,False,256-128-64,0.2,adam,0.001,256,40,none,,0.8418326693227092,0.6860530773574252,0.6567567567567567,0.6710853355426678,"[[10248, 1112], [1270, 2430]]",0.8903494361438904,0.7465830288695138,27.109631061553955,cuda,ok
42,mlp_tuned_non_dp,False,256-128-64,0.2,adam,0.001,256,40,mild,,0.8335325365205843,0.6476119772333581,0.7072972972972973,0.6761400335873918,"[[9936, 1424], [1083, 2617]]",0.889924093547773,0.746704134194384,28.101340293884277,cuda,ok
42,mlp_tuned_non_dp,False,256-128-64,0.2,adam,0.001,256,40,balanced,,0.8057104913678619,0.5735182370820668,0.8159459459459459,0.6735832217759928,"[[9115, 2245], [681, 3019]]",0.8900930124666921,0.7522618333605493,28.463696718215942,cuda,ok
42,mlp_tuned_non_dp,False,128-64,0.1,sgd,0.03,256,40,none,,0.8544488711819389,0.7440129449838188,0.6213513513513513,0.6771723122238587,"[[10569, 791], [1401, 2299]]",0.910081152455272,0.7841848262093297,24.905083656311035,cuda,ok
42,mlp_tuned_non_dp,False,128-64,0.1,sgd,0.03,256,40,mild,,0.8437583001328022,0.6676624346527259,0.7248648648648649,0.6950887650641441,"[[10025, 1335], [1018, 2682]]",0.9101305077084125,0.7843328069942457,24.760210514068604,cuda,ok
42,mlp_tuned_non_dp,False,128-64,0.1,sgd,0.03,256,40,balanced,,0.8181938911022576,0.5926782273603083,0.8313513513513513,0.6920134983127109,"[[9246, 2114], [624, 3076]]",0.9093335791777695,0.7823795305729503,25.260331869125366,cuda,ok
42,mlp_tuned_non_dp,False,128-64,0.1,sgd,0.05,256,40,none,,0.850929614873838,0.7176189051749925,0.6483783783783784,0.6812437881584552,"[[10416, 944], [1301, 2399]]",0.9092620027598021,0.7825217139232754,25.36080837249756,cuda,ok
42,mlp_tuned_non_dp,False,128-64,0.1,sgd,0.05,256,40,mild,,0.8318061088977423,0.62798859398991,0.7737837837837838,0.6933042741251968,"[[9664, 1696], [837, 2863]]",0.9079545465359726,0.7792717186594105,25.87481188774109,cuda,ok
42,mlp_tuned_non_dp,False,128-64,0.1,sgd,0.05,256,40,balanced,,0.7973439575033201,0.5556318681318682,0.8745945945945945,0.6795464090718185,"[[8772, 2588], [464, 3236]]",0.9078160330224592,0.7783983539522836,25.11265730857849,cuda,ok
42,mlp_tuned_non_dp,False,128-64,0.1,sgd,0.08,256,40,none,,0.8490703851261621,0.6974813174647108,0.6810810810810811,0.6891836455626966,"[[10267, 1093], [1180, 2520]]",0.9080096236200988,0.7795599758212256,25.163179636001587,cuda,ok
42,mlp_tuned_non_dp,False,128-64,0.1,sgd,0.08,256,40,mild,,0.8228419654714475,0.6056511056511057,0.7994594594594595,0.6891891891891891,"[[9434, 1926], [742, 2958]]",0.9065597401979445,0.7768291316227158,25.52091932296753,cuda,ok
42,mlp_tuned_non_dp,False,128-64,0.1,sgd,0.08,256,40,balanced,,0.795816733067729,0.5532458681206338,0.8775675675675676,0.6786498066673634,"[[8738, 2622], [453, 3247]]",0.9054235939284356,0.774728049771954,25.605470418930054,cuda,ok
